ChargeEVs_index_1,ChargeEVs_index_2,ChargeEVs
Oahu,2020012300,0.0
Oahu,2020012302,0.0
Oahu,2020012304,0.0
Oahu,2020012306,0.0
Oahu,2020012308,74.8800201329
Oahu,2020012310,0.0
Oahu,2020012312,0.0
Oahu,2020012314,26.0979297396
Oahu,2020012316,0.0
Oahu,2020012318,0.0
Oahu,2020012320,0.0
Oahu,2020012322,17.1238955303
Oahu,2020022300,0.0
Oahu,2020022302,0.0
Oahu,2020022304,29.4014178504
Oahu,2020022306,0.0
Oahu,2020022308,0.0
Oahu,2020022310,0.0
Oahu,2020022312,0.0
Oahu,2020022314,88.7004275523
Oahu,2020022316,0.0
Oahu,2020022318,0.0
Oahu,2020022320,0.0
Oahu,2020022322,0.0
Oahu,2020032300,0.0
Oahu,2020032302,0.0
Oahu,2020032304,0.0
Oahu,2020032306,0.0
Oahu,2020032308,0.0
Oahu,2020032310,0.0
Oahu,2020032312,118.101845403
Oahu,2020032314,0.0
Oahu,2020032316,0.0
Oahu,2020032318,0.0
Oahu,2020032320,0.0
Oahu,2020032322,0.0
Oahu,2020042300,0.0
Oahu,2020042302,0.0
Oahu,2020042304,0.0
Oahu,2020042306,5.92377444198
Oahu,2020042308,0.0
Oahu,2020042310,112.178070961
Oahu,2020042312,0.0
Oahu,2020042314,0.0
Oahu,2020042316,0.0
Oahu,2020042318,0.0
Oahu,2020042320,0.0
Oahu,2020042322,0.0
Oahu,2020052300,0.0
Oahu,2020052302,0.283644678808
Oahu,2020052304,0.0
Oahu,2020052306,0.0
Oahu,2020052308,0.0
Oahu,2020052310,0.0
Oahu,2020052312,0.0
Oahu,2020052314,94.9399844666
Oahu,2020052316,22.8782162573
Oahu,2020052318,0.0
Oahu,2020052320,0.0
Oahu,2020052322,0.0
Oahu,2020062300,57.1260546032
Oahu,2020062302,0.0
Oahu,2020062304,0.0
Oahu,2020062306,0.0
Oahu,2020062308,0.0
Oahu,2020062310,0.0
Oahu,2020062312,0.0
Oahu,2020062314,0.0
Oahu,2020062316,60.9757907996
Oahu,2020062318,0.0
Oahu,2020062320,0.0
Oahu,2020062322,0.0
Oahu,2020072300,0.0
Oahu,2020072302,0.0
Oahu,2020072304,0.0
Oahu,2020072306,0.0
Oahu,2020072308,0.0
Oahu,2020072310,118.101845403
Oahu,2020072312,0.0
Oahu,2020072314,0.0
Oahu,2020072316,0.0
Oahu,2020072318,0.0
Oahu,2020072320,0.0
Oahu,2020072322,0.0
Oahu,2020082300,89.887776307
Oahu,2020082302,28.2140690957
Oahu,2020082304,0.0
Oahu,2020082306,0.0
Oahu,2020082308,0.0
Oahu,2020082310,0.0
Oahu,2020082312,0.0
Oahu,2020082314,0.0
Oahu,2020082316,0.0
Oahu,2020082318,0.0
Oahu,2020082320,0.0
Oahu,2020082322,0.0
Oahu,2020092300,0.0
Oahu,2020092302,0.0
Oahu,2020092304,0.0
Oahu,2020092306,0.0
Oahu,2020092308,0.0
Oahu,2020092310,97.3885114036
Oahu,2020092312,0.0
Oahu,2020092314,0.0
Oahu,2020092316,0.0
Oahu,2020092318,0.0
Oahu,2020092320,0.0
Oahu,2020092322,20.7133339991
Oahu,2020102300,0.0
Oahu,2020102302,0.0
Oahu,2020102304,0.0
Oahu,2020102306,0.0
Oahu,2020102308,118.101845403
Oahu,2020102310,0.0
Oahu,2020102312,0.0
Oahu,2020102314,0.0
Oahu,2020102316,0.0
Oahu,2020102318,0.0
Oahu,2020102320,0.0
Oahu,2020102322,0.0
Oahu,2020112300,0.0
Oahu,2020112302,0.0
Oahu,2020112304,20.4849173879
Oahu,2020112306,0.0
Oahu,2020112308,0.0
Oahu,2020112310,0.0
Oahu,2020112312,0.0
Oahu,2020112314,0.0
Oahu,2020112316,0.0
Oahu,2020112318,0.0
Oahu,2020112320,0.0
Oahu,2020112322,97.6169280148
Oahu,2020122300,0.0
Oahu,2020122302,0.0
Oahu,2020122304,0.0
Oahu,2020122306,0.0
Oahu,2020122308,0.0
Oahu,2020122310,0.0
Oahu,2020122312,0.0
Oahu,2020122314,56.7595234668
Oahu,2020122316,61.3423219359
Oahu,2020122318,0.0
Oahu,2020122320,0.0
Oahu,2020122322,0.0
Oahu,2025012300,0.0
Oahu,2025012302,109.342033331
Oahu,2025012304,0.0
Oahu,2025012306,0.0
Oahu,2025012308,0.0
Oahu,2025012310,0.0
Oahu,2025012312,0.0
Oahu,2025012314,174.926361998
Oahu,2025012316,0.0
Oahu,2025012318,0.0
Oahu,2025012320,0.0
Oahu,2025012322,0.0
Oahu,2025022300,0.0
Oahu,2025022302,0.0
Oahu,2025022304,0.0
Oahu,2025022306,0.0
Oahu,2025022308,0.0
Oahu,2025022310,0.0
Oahu,2025022312,284.26839533
Oahu,2025022314,0.0
Oahu,2025022316,0.0
Oahu,2025022318,0.0
Oahu,2025022320,0.0
Oahu,2025022322,0.0
Oahu,2025032300,0.0
Oahu,2025032302,0.0
Oahu,2025032304,0.0
Oahu,2025032306,0.0
Oahu,2025032308,144.604056136
Oahu,2025032310,139.664339194
Oahu,2025032312,0.0
Oahu,2025032314,0.0
Oahu,2025032316,0.0
Oahu,2025032318,0.0
Oahu,2025032320,0.0
Oahu,2025032322,0.0
Oahu,2025042300,0.0
Oahu,2025042302,0.0
Oahu,2025042304,0.0
Oahu,2025042306,0.0
Oahu,2025042308,0.0
Oahu,2025042310,0.0
Oahu,2025042312,121.319671046
Oahu,2025042314,0.0
Oahu,2025042316,162.948724284
Oahu,2025042318,0.0
Oahu,2025042320,0.0
Oahu,2025042322,0.0
Oahu,2025052300,0.0
Oahu,2025052302,0.0
Oahu,2025052304,0.0
Oahu,2025052306,0.0
Oahu,2025052308,0.0
Oahu,2025052310,0.0
Oahu,2025052312,231.986521273
Oahu,2025052314,0.0
Oahu,2025052316,0.0
Oahu,2025052318,0.0
Oahu,2025052320,0.0
Oahu,2025052322,52.2818740564
Oahu,2025062300,0.0
Oahu,2025062302,0.0
Oahu,2025062304,19.8508864898
Oahu,2025062306,0.0
Oahu,2025062308,0.0
Oahu,2025062310,264.41750884
Oahu,2025062312,0.0
Oahu,2025062314,0.0
Oahu,2025062316,0.0
Oahu,2025062318,0.0
Oahu,2025062320,0.0
Oahu,2025062322,0.0
Oahu,2025072300,0.0
Oahu,2025072302,157.715570435
Oahu,2025072304,43.7867909343
Oahu,2025072306,11.7070189473
Oahu,2025072308,0.0
Oahu,2025072310,0.0
Oahu,2025072312,0.0
Oahu,2025072314,0.0
Oahu,2025072316,71.0590150133
Oahu,2025072318,0.0
Oahu,2025072320,0.0
Oahu,2025072322,0.0
Oahu,2025082300,0.0
Oahu,2025082302,0.0
Oahu,2025082304,0.0
Oahu,2025082306,0.0
Oahu,2025082308,0.0
Oahu,2025082310,0.0
Oahu,2025082312,0.0
Oahu,2025082314,284.26839533
Oahu,2025082316,0.0
Oahu,2025082318,0.0
Oahu,2025082320,0.0
Oahu,2025082322,0.0
Oahu,2025092300,0.0
Oahu,2025092302,0.0
Oahu,2025092304,0.0
Oahu,2025092306,0.0
Oahu,2025092308,0.0
Oahu,2025092310,216.267662938
Oahu,2025092312,0.0
Oahu,2025092314,0.0
Oahu,2025092316,68.000732392
Oahu,2025092318,0.0
Oahu,2025092320,0.0
Oahu,2025092322,0.0
Oahu,2025102300,0.0
Oahu,2025102302,0.0
Oahu,2025102304,0.0
Oahu,2025102306,0.0
Oahu,2025102308,284.26839533
Oahu,2025102310,0.0
Oahu,2025102312,0.0
Oahu,2025102314,0.0
Oahu,2025102316,0.0
Oahu,2025102318,0.0
Oahu,2025102320,0.0
Oahu,2025102322,0.0
Oahu,2025112300,0.0
Oahu,2025112302,28.0348170474
Oahu,2025112304,0.0
Oahu,2025112306,0.0
Oahu,2025112308,0.0
Oahu,2025112310,256.233578282
Oahu,2025112312,0.0
Oahu,2025112314,0.0
