gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
AES,multiple,2020,1327.5820129770623,4691832.210380892,1432006.733000872,180.0,28945169.02245778,13559854.833563756,35.55099090305157,0.8419469894578021,0.0,0.0
Airport_DSG,multiple,2020,1.3334800550206327,21835.67086017607,0.0,8.0,262179.80871822074,62220.4997789953,259.6484124781565,0.01902796882164145,0.0,0.0
Airport_DSG,multiple,2025,1.2611829436038515,20651.809187034,0.0,8.0,262179.80871822074,62220.4997789953,273.59402490669413,0.017996331957817517,0.0,0.0
Airport_DSG,multiple,2030,0.0,0.0,0.0,8.0,262179.80871822074,62220.4997789953,0.0,0.0,0.0,0.0
Airport_DSG,multiple,2035,0.0,0.0,0.0,8.0,262179.80871822074,62220.4997789953,0.0,0.0,0.0,0.0
Airport_DSG,multiple,2040,0.4418156808803302,7234.710224757134,0.0,8.0,262179.80871822074,62220.4997789953,750.6184888258856,0.006304447501146265,0.0,0.0
Airport_DSG,multiple,2045,0.0,0.0,0.0,8.0,262179.80871822074,62220.4997789953,0.0,0.0,0.0,0.0
Battery_Bulk,Battery,2020,-0.715159577554898,0.0,0.0,3.761758035975215,122699.06255960502,130205.49269999408,39.292637646034485,0.19532170427014364,7.151595775548923,6.436436197994025
Battery_Bulk,Battery,2025,-3.5525607273824362,0.0,0.0,17.99439669526468,443145.3155429133,470255.8678468284,28.567849549869937,0.20283487243726905,35.52560727382436,31.973046546441932
Battery_Bulk,Battery,2030,-75.85072483805656,0.0,0.0,377.0992547424369,7023834.181795999,7453535.269183816,21.207399258198546,0.20665335693023473,758.507248380566,682.6565235425095
Battery_Bulk,Battery,2035,-89.9938632162497,0.0,0.0,439.54914954683886,8038646.585853188,8530431.4272465,20.457046762159294,0.21035064817021792,899.9386321624972,809.9447689462475
Battery_Bulk,Battery,2040,-139.77388286563274,0.0,0.0,620.4918135330254,10847758.241282249,11511397.699639626,17.774069154898438,0.23143464777777129,1397.7388286563278,1257.9649457906949
Battery_Bulk,Battery,2045,-327.6457434609083,0.0,0.0,1402.7580443823897,21261253.321663737,22561965.074686747,14.861314653594269,0.23997177597393515,3276.457434609084,2948.8116911481757
Battery_Conting,Battery,2020,0.0,0.0,0.0,129.45273706753508,6647254.754080849,4480739.391009637,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2025,0.0,0.0,0.0,129.45273706753508,6647254.754080849,4480739.391009637,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2030,0.0,0.0,0.0,129.45273706753508,6647254.754080849,4480739.391009637,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2035,0.0,0.0,0.0,90.0,2434134.4453527303,1640785.9328107696,0.0,0.0,0.0,0.0
Battery_Conting,Battery,2040,-0.6416368638239343,0.0,0.0,90.0,2434134.4453527303,1640785.9328107696,705.6466927550098,0.0073246217331499296,6.416368638239339,5.774731774415405
Battery_Conting,Battery,2045,0.0,0.0,0.0,90.0,2434134.4453527303,1640785.9328107696,0.0,0.0,0.0,0.0
Battery_Reg,Battery,2020,0.0,0.0,0.0,76.47585795588857,5359451.639294414,2647054.028880352,0.0,0.0,0.0,0.0
Battery_Reg,Battery,2025,0.0,0.0,0.0,131.33107485948486,8013038.585464364,3957670.9519520244,0.0,0.0,0.0,0.0
Battery_Reg,Battery,2030,0.0,0.0,0.0,337.2824659564035,16121910.090903401,7962674.156155085,0.0,0.0,0.0,0.0
Battery_Reg,Battery,2035,0.0,0.0,0.0,410.77806487353826,16298197.067480464,8049742.980167995,0.0,0.0,0.0,0.0
Battery_Reg,Battery,2040,-12.534250184450249,0.0,0.0,490.5871084239892,18283948.953926608,9030513.567374198,242.1317777675783,0.026249475532412938,125.34250184450245,112.8082516600522
Battery_Reg,Battery,2045,0.0,0.0,0.0,874.3254061926057,29039459.889996372,14342702.28967758,0.0,0.0,0.0,0.0
CC_152,multiple,2020,1611.6862232579363,7236471.1424281355,926852.4782144094,301.172,38875009.755570464,5207263.880000001,31.84164760945871,0.6108882817041092,0.0,0.0
CC_152,multiple,2025,2008.421517942852,9017812.615563404,1136796.0714495382,301.172,38875009.755570464,5207263.880000001,26.438716064704497,0.7612655319181876,0.0,0.0
CC_152,multiple,2030,1601.9198176685466,7192619.981331773,905765.6796678363,301.172,38875009.755570464,5207263.880000001,32.00840207565965,0.6071864552301771,0.0,0.0
CC_152,multiple,2035,1388.9854010894596,6236544.4508916745,785110.2402997602,301.172,38875009.755570464,5207263.880000001,36.22703164986058,0.5264764894921085,0.0,0.0
CC_152,multiple,2040,1254.62298837882,5633257.217820901,706388.6229943293,301.172,38875009.755570464,5207263.880000001,39.625872723432266,0.47554819945529236,0.0,0.0
CC_152,multiple,2045,578.9630194664228,2599543.957404238,0.0,301.172,38875009.755570464,5207263.880000001,80.63005066540703,0.219448251792534,0.0,0.0
CIP_CT,multiple,2020,7.33435880695283,29961.83062318183,6663.633133526625,113.0,3703289.798144868,1565887.51940943,722.5088501470638,0.007409341341327059,0.0,0.0
