gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass_IGCC,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC_CCS,BioSolid,2030,0.0,0.0,0.0
Central_PV,Solar,2020,-2.9242768542049e-15,0.0,0.0
Central_PV,Solar,2030,0.0,0.0,0.0
Coal_IGCC,Coal,2020,1.8687594265702025e-15,-3.337608193693359e-12,1.4191060083865977e-12
Coal_IGCC,Coal,2030,-1.3625101047409778e-14,-8.287058959055575e-11,-1.0346683733786228e-11
Coal_IGCC_CCS,Coal,2030,-5.082787019848458e-15,-5.010611444166609e-11,-7.559356697236348e-13
Coal_ST,Coal,2020,29.664062784,103824.219744,26209.97931343105
Coal_ST,Coal,2030,14.832072,50429.044799999996,12750.83565696
Commercial_PV,Solar,2020,1.6511888110733795e-15,0.0,0.0
Commercial_PV,Solar,2030,1.2169457340572535e-14,0.0,0.0
Geothermal,Geothermal,2020,33.962222434248,1126000.5036962754,0.0
Geothermal,Geothermal,2030,33.962315418,1126003.5865260807,0.0
NG_CC,NaturalGas,2020,73.83870606283283,266098.00054955937,26269.397091467654
NG_CC,NaturalGas,2030,66.05994200437648,191624.98265370989,23501.96720505358
NG_CC_CCS,NaturalGas,2030,0.0,0.0,0.0
NG_GT,NaturalGas,2020,11.071707499775243,301739.2518248494,6103.759271356576
NG_GT,NaturalGas,2030,0.0,0.0,0.0
Nuclear,Uranium,2030,0.0,0.0,0.0
Residential_PV,Solar,2020,1.943206624996267e-15,0.0,0.0
Residential_PV,Solar,2030,0.0,0.0,0.0
Wind,Wind,2020,-6.896572239773895e-15,0.0,0.0
Wind,Wind,2030,85.8270294,0.0,0.0
