generation_project,timepoint,load_zone,ChargeMW,DischargeMW,StateOfCharge
Oahu_Battery_4,2020-01-23-00:00,Oahu,0,0,0
Oahu_Battery_4,2020-01-23-02:00,Oahu,0,0,0
Oahu_Battery_4,2020-01-23-04:00,Oahu,0,0,0
Oahu_Battery_4,2020-01-23-06:00,Oahu,0,0,0
Oahu_Battery_4,2020-01-23-08:00,Oahu,0,0,0
Oahu_Battery_4,2020-01-23-10:00,Oahu,0,0,0
Oahu_Battery_4,2020-01-23-12:00,Oahu,0,0,0
Oahu_Battery_4,2020-01-23-14:00,Oahu,0,0,0
Oahu_Battery_4,2020-01-23-16:00,Oahu,0,0,0
Oahu_Battery_4,2020-01-23-18:00,Oahu,0,0,0
Oahu_Battery_4,2020-01-23-20:00,Oahu,0,0,0
Oahu_Battery_4,2020-01-23-22:00,Oahu,0,0,0
Oahu_Battery_4,2020-02-23-00:00,Oahu,0,0,0
Oahu_Battery_4,2020-02-23-02:00,Oahu,0,0,0
Oahu_Battery_4,2020-02-23-04:00,Oahu,0,0,0
Oahu_Battery_4,2020-02-23-06:00,Oahu,0,0,0
Oahu_Battery_4,2020-02-23-08:00,Oahu,0,0,0
Oahu_Battery_4,2020-02-23-10:00,Oahu,0,0,0
Oahu_Battery_4,2020-02-23-12:00,Oahu,0,0,0
Oahu_Battery_4,2020-02-23-14:00,Oahu,0,0,0
Oahu_Battery_4,2020-02-23-16:00,Oahu,0,0,0
Oahu_Battery_4,2020-02-23-18:00,Oahu,0,0,0
Oahu_Battery_4,2020-02-23-20:00,Oahu,0,0,0
Oahu_Battery_4,2020-02-23-22:00,Oahu,0,0,0
Oahu_Battery_4,2020-03-23-00:00,Oahu,0,0,0
Oahu_Battery_4,2020-03-23-02:00,Oahu,0,0,0
Oahu_Battery_4,2020-03-23-04:00,Oahu,0,0,0
Oahu_Battery_4,2020-03-23-06:00,Oahu,0,0,0
Oahu_Battery_4,2020-03-23-08:00,Oahu,0,0,0
Oahu_Battery_4,2020-03-23-10:00,Oahu,0,0,0
Oahu_Battery_4,2020-03-23-12:00,Oahu,0,0,0
Oahu_Battery_4,2020-03-23-14:00,Oahu,0,0,0
Oahu_Battery_4,2020-03-23-16:00,Oahu,0,0,0
Oahu_Battery_4,2020-03-23-18:00,Oahu,0,0,0
Oahu_Battery_4,2020-03-23-20:00,Oahu,0,0,0
Oahu_Battery_4,2020-03-23-22:00,Oahu,0,0,0
